"Order ID","Order Date","Unit Cost","Price","Order Qty","Cost of Sales","Sales","Profit","Channel","Promotion Name","Product Name","Manufacturer","Product Sub Category","Product Category","Region","City","Country"
"15000","11/14/2023","10.936943084162","15.9","20","218.73886168323","318","99.261138316768","Online","No Discount","Contoso USB Wave Multi-media Keyboard E280 Black","Contoso, Ltd","Computers Accessories","Computers","North America","Spring","United States"
"14999","1/18/2023","113.23746133376","279","12","1358.8495360051","3348","1989.1504639949","Online","Asian Summer Promotion","Adventure Works LCD20W M240 Black","Adventure Works","Monitors","Computers","Asia","Beijing","China"
"14998","8/2/2022","363.63498583425","588","13","4727.2548158452","7408.8","2681.5451841548","Online","North America Holiday Promotion","A. Datum SLR Camera 35"" X358 Gold","A. Datum Corporation","Digital SLR Cameras","Cameras and camcorders ","North America","Ithaca","United States"
"14997","1/2/2022","55.387212105132","999","10","553.87212105132","9990","9436.1278789487","Online","No Discount","WWI Projector 720p DLP56 White","Wide World Importers","Projectors & Screens","Computers","Europe","Paris","France"
"14996","12/16/2021","16.240454619464","25","12","194.88545543357","300","105.11454456643","Online","Asian Summer Promotion","Contoso USB Cable M250 Blue","Contoso, Ltd","Cameras & Camcorders Accessories","Cameras and camcorders ","Asia","Osaka","Japan"
"14995","1/12/2022","8.1192495470683","13.89","10","81.192495470683","138.9","57.707504529317","Online","No Discount","Contoso DVD 58 DVD Storage Binder M55 Black","Contoso, Ltd","Movie DVD","Music, Movies and Audio Books","North America","Westminster","Canada"
"14994","6/4/2022","3.1696280905972","12.99","5","15.848140452986","64.95","49.101859547014","Online","No Discount","Contoso DVD Movies E100 Yellow","Contoso, Ltd","Movie DVD","Music, Movies and Audio Books","Asia","Beijing","China"
"14993","5/6/2022","275.22766370423","300","12","3302.7319644508","3510","207.26803554919","Online","North America Back-to-School Promotion","The Phone Company Touch Screen Phones Infrared M901 Grey","The Phone Company","Touch Screen Phones ","Cell phones","North America","Sheboygan","United States"
"14992","6/11/2022","250.22442442525","338","10","2502.2442442525","3380","877.75575574745","Online","No Discount","A. Datum SLR Camera 35"" M358 Gold","A. Datum Corporation","Digital SLR Cameras","Cameras and camcorders ","North America","Hingham","United States"
"14991","11/10/2023","52.564347740925","329","18","946.15825933666","5724.6","4778.4417406633","Catalog","Asian Spring Promotion","Contoso Home Theater System 2.1 Channel M1210 White","Contoso, Ltd","Home Theater System","TV and Video","Asia","Beijing","China"
